Order_ID,Customer_ID,Order_Date,Ship_Date,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Region
2016,C082,2025-03-04,2025-03-10,P1073,Technology,Tablets,Samsung Tab S7,26944.69,1,0.2,-2155.58,North
2017,C211,2024-11-25,2024-12-01,P1029,Technology,Laptops,HP Pavilion,29567.87,7,0.05,2069.75,North
2018,C065,2024-12-05,2024-12-06,P1145,Furniture,Chairs,Executive Chair,89944.21,9,0.05,6296.09,South
2019,C201,2024-07-19,2024-07-20,P1074,Technology,Mobiles,Samsung Galaxy S22,126645.29,7,0.0,15197.43,East
2020,C102,2024-11-12,2024-11-17,P1132,Office Supplies,Paper,A4 Paper Pack,57241.06,10,0.2,-4579.28,East
2021,C025,2024-11-21,2024-11-26,P1094,Office Supplies,Pens,Parker Pen,18565.78,8,0.05,1299.6,South
2022,C099,2025-01-10,2025-01-11,P1033,Furniture,Storage,Storage Box,48390.46,3,0.15,-1451.71,South
2023,C026,2024-09-30,2024-10-05,P1183,Office Supplies,Pens,Reynolds Pen,9704.11,5,0.0,1164.49,West
2024,C187,2025-04-01,2025-04-05,P1048,Furniture,Storage,Shelf Unit,112178.37,5,0.0,13461.4,West
2025,C028,2024-11-23,2024-11-27,P1002,Technology,Tablets,iPad Air,71383.46,4,0.15,-2141.5,East
2026,C256,2025-02-19,2025-02-23,P1008,Technology,Tablets,Samsung Tab S7,2076.17,7,0.1,41.52,South
2027,C183,2024-11-14,2024-11-21,P1156,Technology,Laptops,Lenovo ThinkPad,57778.34,1,0.05,4044.48,West
2028,C212,2025-01-05,2025-01-12,P1168,Office Supplies,Paper,Sticky Notes,16797.33,1,0.2,-1343.79,West
2029,C066,2025-01-30,2025-02-02,P1071,Technology,Laptops,Lenovo ThinkPad,63199.08,3,0.2,-5055.93,West
2030,C111,2024-07-30,2024-08-06,P1138,Furniture,Chairs,Visitor Chair,134703.06,7,0.05,9429.21,North
2031,C180,2025-03-19,2025-03-24,P1133,Technology,Mobiles,Samsung Galaxy S22,141850.11,8,0.2,-11348.01,East
2032,C174,2024-10-23,2024-10-29,P1018,Furniture,Tables,Office Table,144499.48,5,0.2,-11559.96,East
2033,C298,2025-02-04,2025-02-06,P1055,Technology,Laptops,Dell Inspiron 15,38217.54,1,0.2,-3057.4,South
2034,C298,2024-08-19,2024-08-25,P1115,Furniture,Storage,Filing Cabinet,35636.04,10,0.05,2494.52,South
2035,C293,2025-04-20,2025-04-24,P1196,Furniture,Storage,Shelf Unit,77164.54,1,0.15,-2314.94,North
2036,C020,2024-10-03,2024-10-06,P1017,Office Supplies,Binders,Office Depot Binder,123857.3,9,0.0,14862.88,South
2037,C149,2025-02-03,2025-02-06,P1187,Furniture,Tables,Office Table,51281.73,9,0.2,-4102.54,West
2038,C234,2025-01-16,2025-01-17,P1057,Furniture,Chairs,Executive Chair,22142.29,5,0.0,2657.07,North
2039,C124,2025-01-01,2025-01-04,P1134,Technology,Mobiles,Samsung Galaxy S22,26948.96,8,0.05,1886.43,East
2040,C071,2025-05-29,2025-05-31,P1034,Furniture,Chairs,Visitor Chair,92912.08,10,0.2,-7432.97,South
2041,C100,2024-08-28,2024-08-31,P1117,Office Supplies,Binders,Avery Binder,134003.42,1,0.0,16080.41,South
2042,C011,2024-07-03,2024-07-06,P1047,Technology,Tablets,Samsung Tab S7,34554.01,10,0.0,4146.48,West
2043,C129,2024-12-26,2024-12-29,P1145,Technology,Mobiles,Samsung Galaxy S22,75760.23,8,0.1,1515.2,South
2044,C048,2024-08-31,2024-09-05,P1074,Technology,Tablets,Lenovo Tab M10,5402.33,7,0.2,-432.19,West
2045,C153,2024-07-20,2024-07-23,P1127,Technology,Tablets,iPad Air,145016.98,6,0.1,2900.34,West
2046,C172,2025-03-07,2025-03-09,P1069,Furniture,Storage,Storage Box,32049.56,6,0.05,2243.47,East
2047,C210,2025-04-10,2025-04-12,P1018,Office Supplies,Paper,Sticky Notes,40524.19,9,0.1,810.48,West
2048,C243,2024-09-02,2024-09-09,P1176,Technology,Mobiles,Samsung Galaxy S22,25787.27,1,0.2,-2062.98,South
2049,C071,2024-09-09,2024-09-10,P1155,Furniture,Tables,Office Table,55551.01,10,0.0,6666.12,South
2050,C053,2024-11-10,2024-11-16,P1165,Technology,Mobiles,Samsung Galaxy S22,114358.25,9,0.1,2287.16,South
2051,C271,2024-06-10,2024-06-15,P1136,Technology,Laptops,Lenovo ThinkPad,122676.81,1,0.2,-9814.14,North
2052,C206,2024-09-09,2024-09-12,P1199,Furniture,Storage,Filing Cabinet,51054.88,10,0.05,3573.84,North
2053,C144,2024-12-26,2024-12-27,P1172,Furniture,Storage,Filing Cabinet,5835.72,1,0.05,408.5,West
2054,C286,2025-02-11,2025-02-12,P1147,Office Supplies,Binders,Staples Binder,140329.83,3,0.15,-4209.89,South
2055,C272,2024-10-22,2024-10-29,P1198,Office Supplies,Pens,Reynolds Pen,141734.58,6,0.15,-4252.04,East
2056,C015,2025-04-05,2025-04-11,P1092,Office Supplies,Pens,Reynolds Pen,69550.27,4,0.05,4868.52,West
2057,C237,2024-10-19,2024-10-24,P1134,Technology,Laptops,HP Pavilion,134300.61,3,0.2,-10744.05,West
2058,C239,2025-03-18,2025-03-20,P1038,Office Supplies,Binders,Office Depot Binder,130371.82,4,0.1,2607.44,East
2059,C126,2024-10-31,2024-11-04,P1170,Furniture,Storage,Shelf Unit,18217.24,3,0.0,2186.07,East
2060,C146,2025-02-14,2025-02-16,P1026,Furniture,Storage,Shelf Unit,49772.29,5,0.0,5972.67,South
2061,C204,2024-10-28,2024-10-29,P1090,Furniture,Tables,Office Table,84267.98,7,0.15,-2528.04,South
2062,C016,2025-01-14,2025-01-20,P1109,Technology,Mobiles,Samsung Galaxy S22,5078.32,8,0.1,101.57,West
2063,C006,2025-01-04,2025-01-07,P1069,Furniture,Storage,Filing Cabinet,111116.03,3,0.2,-8889.28,East
2064,C115,2024-07-05,2024-07-07,P1163,Technology,Laptops,Lenovo ThinkPad,131067.86,5,0.0,15728.14,North
2065,C064,2025-04-16,2025-04-17,P1106,Office Supplies,Pens,Pilot Pen,114855.85,10,0.15,-3445.68,North
2066,C237,2024-11-17,2024-11-22,P1124,Furniture,Tables,Standing Desk,52466.15,2,0.1,1049.32,West
2067,C050,2024-12-09,2024-12-11,P1166,Technology,Laptops,HP Pavilion,44045.13,6,0.1,880.9,East
2068,C056,2024-09-25,2024-09-28,P1178,Office Supplies,Binders,Office Depot Binder,123029.52,10,0.0,14763.54,South
2069,C218,2024-10-05,2024-10-11,P1096,Furniture,Storage,Shelf Unit,84904.46,9,0.2,-6792.36,East
2070,C040,2024-09-11,2024-09-12,P1094,Furniture,Storage,Shelf Unit,114399.32,1,0.0,13727.92,South
2071,C226,2024-09-27,2024-10-02,P1164,Office Supplies,Paper,Sticky Notes,43012.37,9,0.15,-1290.37,North
2072,C049,2024-10-15,2024-10-20,P1195,Office Supplies,Pens,Pilot Pen,42869.0,7,0.0,5144.28,West
2073,C251,2024-11-04,2024-11-07,P1150,Office Supplies,Paper,A4 Paper Pack,31296.23,1,0.2,-2503.7,South
2074,C179,2025-05-30,2025-06-01,P1151,Technology,Mobiles,iPhone 13,98568.33,6,0.05,6899.78,West
2075,C096,2024-06-19,2024-06-22,P1166,Furniture,Chairs,Visitor Chair,102727.44,6,0.1,2054.55,West
2076,C144,2024-06-21,2024-06-23,P1041,Furniture,Chairs,Executive Chair,62707.35,6,0.15,-1881.22,West
2077,C208,2024-06-16,2024-06-20,P1000,Technology,Tablets,Samsung Tab S7,136132.21,3,0.1,2722.64,East
2078,C131,2024-10-07,2024-10-10,P1064,Technology,Tablets,Lenovo Tab M10,72712.73,2,0.05,5089.89,South
2079,C148,2024-09-30,2024-10-01,P1009,Furniture,Chairs,Visitor Chair,28916.5,2,0.1,578.33,East
2080,C095,2024-10-28,2024-10-30,P1084,Furniture,Storage,Shelf Unit,74371.99,3,0.2,-5949.76,North
2081,C019,2024-12-03,2024-12-06,P1058,Technology,Tablets,Lenovo Tab M10,32172.22,4,0.05,2252.06,West
2082,C042,2024-10-19,2024-10-20,P1017,Office Supplies,Binders,Staples Binder,43421.3,3,0.1,868.43,North
2083,C127,2024-06-08,2024-06-11,P1168,Office Supplies,Pens,Pilot Pen,146410.44,4,0.1,2928.21,East
2084,C107,2025-05-07,2025-05-08,P1028,Furniture,Storage,Shelf Unit,146532.32,4,0.2,-11722.59,West
2085,C063,2025-02-26,2025-03-02,P1084,Office Supplies,Pens,Reynolds Pen,107344.75,3,0.15,-3220.34,North
2086,C083,2025-02-06,2025-02-07,P1171,Furniture,Storage,Storage Box,84027.31,6,0.0,10083.28,East
2087,C085,2024-07-13,2024-07-16,P1111,Furniture,Tables,Office Table,84930.75,2,0.2,-6794.46,West
2088,C173,2025-01-22,2025-01-23,P1198,Office Supplies,Paper,A4 Paper Pack,10068.06,7,0.2,-805.44,East
2089,C169,2025-04-26,2025-05-02,P1013,Furniture,Chairs,Visitor Chair,42280.7,2,0.2,-3382.46,East
2090,C174,2024-11-27,2024-12-01,P1064,Furniture,Storage,Storage Box,57487.72,10,0.05,4024.14,West
2091,C195,2024-08-10,2024-08-17,P1194,Furniture,Tables,Conference Table,22740.96,4,0.0,2728.92,North
2092,C282,2025-05-17,2025-05-22,P1122,Furniture,Tables,Office Table,59017.1,3,0.15,-1770.51,West
2093,C045,2025-05-26,2025-06-02,P1198,Furniture,Storage,Storage Box,60910.84,3,0.1,1218.22,North
2094,C151,2025-04-10,2025-04-11,P1043,Technology,Laptops,Lenovo ThinkPad,134773.89,7,0.2,-10781.91,West
2095,C254,2024-11-17,2024-11-21,P1123,Technology,Laptops,Lenovo ThinkPad,30788.72,1,0.0,3694.65,South
2096,C112,2024-10-03,2024-10-10,P1032,Technology,Mobiles,iPhone 13,127142.71,9,0.0,15257.13,South
2097,C045,2024-07-08,2024-07-10,P1079,Furniture,Tables,Conference Table,2183.74,3,0.05,152.86,West
2098,C183,2024-06-15,2024-06-20,P1091,Technology,Laptops,HP Pavilion,69783.6,5,0.05,4884.85,North
2099,C187,2025-03-08,2025-03-10,P1059,Furniture,Storage,Shelf Unit,96222.82,9,0.05,6735.6,West
2100,C218,2024-08-30,2024-09-02,P1071,Furniture,Chairs,Ergonomic Chair,111401.26,7,0.2,-8912.1,East
2101,C285,2024-08-21,2024-08-26,P1054,Furniture,Storage,Filing Cabinet,13455.55,8,0.05,941.89,South
2102,C207,2025-02-06,2025-02-08,P1111,Technology,Tablets,iPad Air,144675.92,6,0.05,10127.31,East
2103,C082,2025-05-12,2025-05-18,P1138,Office Supplies,Binders,Staples Binder,41959.54,4,0.2,-3356.76,West
2104,C003,2024-11-17,2024-11-23,P1058,Furniture,Tables,Standing Desk,135436.23,9,0.05,9480.54,South
2105,C057,2025-03-18,2025-03-19,P1066,Technology,Tablets,Lenovo Tab M10,100867.04,2,0.15,-3026.01,East
2106,C174,2025-01-11,2025-01-12,P1126,Office Supplies,Paper,Printer Paper,11468.9,10,0.0,1376.27,South
2107,C132,2024-07-09,2024-07-16,P1037,Furniture,Storage,Shelf Unit,139299.36,5,0.15,-4178.98,East
2108,C098,2025-05-03,2025-05-04,P1017,Furniture,Chairs,Executive Chair,1620.17,10,0.05,113.41,West
2109,C080,2024-07-12,2024-07-14,P1184,Technology,Laptops,Lenovo ThinkPad,94113.86,9,0.15,-2823.42,West
2110,C255,2025-03-15,2025-03-21,P1056,Office Supplies,Pens,Parker Pen,81401.19,10,0.1,1628.02,East
2111,C254,2024-11-18,2024-11-19,P1181,Technology,Mobiles,iPhone 13,11317.35,6,0.05,792.21,East
2112,C043,2024-05-31,2024-06-01,P1145,Technology,Tablets,Samsung Tab S7,101893.63,1,0.15,-3056.81,East
2113,C196,2025-04-02,2025-04-09,P1187,Technology,Tablets,Lenovo Tab M10,47378.39,8,0.2,-3790.27,West
2114,C004,2024-09-11,2024-09-12,P1153,Furniture,Storage,Storage Box,82628.56,10,0.0,9915.43,East
2115,C294,2024-06-25,2024-06-27,P1141,Technology,Laptops,Lenovo ThinkPad,9424.92,4,0.05,659.74,South
2116,C260,2025-04-02,2025-04-06,P1032,Office Supplies,Binders,Staples Binder,132532.14,7,0.2,-10602.57,West
2117,C049,2024-08-12,2024-08-17,P1044,Office Supplies,Paper,Sticky Notes,52638.24,8,0.05,3684.68,North
2118,C258,2025-05-19,2025-05-23,P1185,Technology,Mobiles,iPhone 13,100655.18,10,0.2,-8052.41,North
2119,C223,2024-07-29,2024-08-03,P1190,Furniture,Storage,Storage Box,63600.07,3,0.15,-1908.0,West
2120,C036,2024-10-19,2024-10-20,P1049,Furniture,Chairs,Executive Chair,73554.82,6,0.1,1471.1,North
2121,C131,2024-06-22,2024-06-26,P1041,Technology,Tablets,iPad Air,105804.76,6,0.05,7406.33,South
2122,C046,2024-12-23,2024-12-25,P1113,Technology,Laptops,Lenovo ThinkPad,107033.64,4,0.05,7492.35,East
2123,C178,2024-12-19,2024-12-20,P1146,Furniture,Tables,Conference Table,22895.49,8,0.05,1602.68,North
2124,C131,2024-06-29,2024-07-03,P1036,Furniture,Tables,Office Table,61997.16,5,0.0,7439.66,East
2125,C271,2025-04-17,2025-04-23,P1187,Technology,Tablets,Lenovo Tab M10,104876.23,6,0.2,-8390.1,North
2126,C136,2024-09-06,2024-09-12,P1189,Furniture,Storage,Shelf Unit,40424.92,1,0.2,-3233.99,West
2127,C027,2025-01-18,2025-01-23,P1037,Office Supplies,Pens,Parker Pen,120129.85,5,0.05,8409.09,North
2128,C179,2025-02-04,2025-02-05,P1002,Technology,Laptops,Lenovo ThinkPad,26121.95,6,0.1,522.44,West
2129,C179,2024-09-27,2024-10-04,P1080,Office Supplies,Binders,Office Depot Binder,7295.6,7,0.0,875.47,North
2130,C287,2025-02-03,2025-02-08,P1193,Office Supplies,Paper,A4 Paper Pack,121977.52,9,0.1,2439.55,South
2131,C143,2025-05-26,2025-06-01,P1049,Technology,Laptops,HP Pavilion,52935.57,6,0.2,-4234.85,West
2132,C052,2024-06-12,2024-06-16,P1015,Office Supplies,Paper,Printer Paper,122930.02,10,0.1,2458.6,South
2133,C001,2025-03-15,2025-03-21,P1160,Furniture,Chairs,Ergonomic Chair,41894.74,4,0.1,837.89,North
2134,C137,2025-02-13,2025-02-14,P1195,Office Supplies,Pens,Pilot Pen,122049.86,10,0.05,8543.49,West
2135,C281,2025-02-02,2025-02-09,P1086,Office Supplies,Binders,Office Depot Binder,54260.73,1,0.05,3798.25,East
2136,C066,2025-02-06,2025-02-07,P1155,Furniture,Storage,Filing Cabinet,52730.92,1,0.05,3691.16,West
2137,C025,2025-04-24,2025-04-27,P1083,Technology,Laptops,Lenovo ThinkPad,39621.01,2,0.05,2773.47,North
2138,C294,2025-04-18,2025-04-19,P1138,Technology,Laptops,HP Pavilion,81046.74,4,0.2,-6483.74,South
2139,C068,2024-12-21,2024-12-28,P1167,Office Supplies,Pens,Reynolds Pen,8104.98,8,0.15,-243.15,East
2140,C250,2025-04-18,2025-04-23,P1118,Furniture,Chairs,Ergonomic Chair,136719.3,6,0.05,9570.35,North
2141,C025,2024-11-06,2024-11-09,P1126,Technology,Laptops,Dell Inspiron 15,36442.7,6,0.0,4373.12,West
2142,C137,2024-06-28,2024-07-04,P1066,Office Supplies,Binders,Avery Binder,99025.21,10,0.2,-7922.02,South
2143,C294,2024-06-19,2024-06-23,P1122,Technology,Mobiles,Samsung Galaxy S22,78307.29,8,0.0,9396.87,South
2144,C272,2024-10-30,2024-11-04,P1056,Furniture,Storage,Shelf Unit,94904.15,9,0.05,6643.29,South
2145,C041,2024-12-26,2024-12-28,P1046,Office Supplies,Paper,Sticky Notes,73068.86,2,0.1,1461.38,North
2146,C280,2024-12-23,2024-12-30,P1188,Office Supplies,Binders,Staples Binder,125100.39,8,0.1,2502.01,South
2147,C042,2025-02-13,2025-02-14,P1137,Technology,Laptops,HP Pavilion,839.95,10,0.2,-67.2,North
2148,C247,2025-04-13,2025-04-15,P1004,Technology,Mobiles,Samsung Galaxy S22,39054.93,1,0.05,2733.85,South
2149,C100,2025-02-28,2025-03-02,P1003,Furniture,Tables,Conference Table,118993.75,4,0.0,14279.25,North
2150,C137,2024-12-27,2025-01-03,P1116,Furniture,Tables,Conference Table,130840.32,10,0.1,2616.81,South
2151,C235,2024-08-20,2024-08-22,P1074,Office Supplies,Paper,A4 Paper Pack,21488.88,7,0.2,-1719.11,North
2152,C145,2024-12-17,2024-12-20,P1080,Technology,Tablets,Samsung Tab S7,48355.91,1,0.05,3384.91,East
2153,C239,2025-05-17,2025-05-22,P1185,Technology,Tablets,Lenovo Tab M10,48498.12,3,0.1,969.96,North
2154,C299,2024-12-24,2024-12-27,P1096,Furniture,Storage,Shelf Unit,65328.53,3,0.0,7839.42,West
2155,C093,2024-08-26,2024-08-29,P1148,Technology,Tablets,Lenovo Tab M10,87491.76,6,0.2,-6999.34,South
2156,C187,2024-07-04,2024-07-10,P1139,Furniture,Chairs,Ergonomic Chair,78852.23,5,0.15,-2365.57,South
2157,C146,2024-09-06,2024-09-07,P1088,Furniture,Storage,Filing Cabinet,101417.27,3,0.2,-8113.38,South
2158,C170,2025-01-08,2025-01-13,P1072,Furniture,Storage,Storage Box,64522.84,6,0.1,1290.46,East
2159,C021,2024-06-07,2024-06-10,P1064,Technology,Mobiles,Samsung Galaxy S22,77460.62,1,0.1,1549.21,North
2160,C246,2025-02-05,2025-02-09,P1131,Technology,Tablets,Samsung Tab S7,101714.37,10,0.15,-3051.43,North
2161,C094,2025-03-08,2025-03-12,P1048,Office Supplies,Pens,Reynolds Pen,131714.71,4,0.0,15805.77,South
2162,C008,2024-09-16,2024-09-20,P1009,Furniture,Tables,Conference Table,24085.5,5,0.1,481.71,South
2163,C257,2024-06-17,2024-06-24,P1056,Office Supplies,Paper,A4 Paper Pack,43435.83,1,0.1,868.72,North
2164,C279,2024-08-18,2024-08-21,P1185,Office Supplies,Paper,Printer Paper,26438.72,9,0.05,1850.71,East
2165,C052,2025-01-16,2025-01-20,P1019,Furniture,Storage,Filing Cabinet,139262.93,3,0.0,16711.55,North
2166,C041,2025-05-27,2025-06-01,P1095,Office Supplies,Paper,A4 Paper Pack,1140.67,5,0.15,-34.22,South
2167,C224,2024-09-05,2024-09-07,P1190,Technology,Mobiles,OnePlus 10,3263.61,2,0.2,-261.09,West
2168,C021,2024-08-09,2024-08-12,P1066,Furniture,Chairs,Executive Chair,1946.09,9,0.2,-155.69,North
2169,C178,2024-12-11,2024-12-14,P1104,Furniture,Tables,Standing Desk,124989.48,7,0.15,-3749.68,South
2170,C134,2024-11-20,2024-11-25,P1100,Furniture,Storage,Storage Box,141354.63,9,0.05,9894.82,South
2171,C048,2025-02-26,2025-03-03,P1109,Office Supplies,Pens,Reynolds Pen,20743.0,1,0.0,2489.16,North
2172,C005,2025-02-11,2025-02-17,P1080,Furniture,Tables,Standing Desk,16375.47,4,0.15,-491.26,North
2173,C096,2024-08-01,2024-08-07,P1084,Technology,Tablets,iPad Air,82851.03,1,0.1,1657.02,West
2174,C178,2024-10-02,2024-10-03,P1077,Furniture,Tables,Office Table,115272.05,3,0.1,2305.44,East
2175,C288,2025-03-21,2025-03-24,P1135,Office Supplies,Pens,Reynolds Pen,82922.97,7,0.15,-2487.69,South
2176,C017,2024-06-08,2024-06-12,P1137,Office Supplies,Binders,Office Depot Binder,102214.95,4,0.05,7155.05,North
2177,C016,2024-07-13,2024-07-16,P1176,Office Supplies,Pens,Parker Pen,93654.85,5,0.1,1873.1,South
2178,C051,2024-07-27,2024-08-01,P1008,Furniture,Storage,Filing Cabinet,75120.29,7,0.15,-2253.61,North
2179,C166,2024-06-11,2024-06-15,P1140,Office Supplies,Paper,A4 Paper Pack,52292.06,6,0.0,6275.05,North
2180,C260,2024-08-16,2024-08-23,P1168,Technology,Mobiles,Samsung Galaxy S22,40750.68,5,0.05,2852.55,West
2181,C276,2024-07-19,2024-07-24,P1114,Technology,Laptops,Lenovo ThinkPad,11723.84,8,0.15,-351.72,North
2182,C117,2024-10-11,2024-10-15,P1015,Office Supplies,Paper,Sticky Notes,55282.76,5,0.15,-1658.48,North
2183,C153,2025-01-21,2025-01-25,P1130,Technology,Laptops,HP Pavilion,52317.36,6,0.1,1046.35,South
2184,C296,2024-06-21,2024-06-26,P1157,Furniture,Chairs,Ergonomic Chair,8214.74,9,0.0,985.77,South
2185,C017,2024-11-15,2024-11-17,P1114,Furniture,Tables,Standing Desk,4232.33,10,0.2,-338.59,South
2186,C157,2025-01-21,2025-01-28,P1193,Furniture,Chairs,Visitor Chair,143789.54,3,0.1,2875.79,North
2187,C127,2024-11-04,2024-11-08,P1042,Office Supplies,Binders,Avery Binder,102146.75,4,0.15,-3064.4,North
2188,C047,2024-09-01,2024-09-06,P1132,Furniture,Tables,Conference Table,39613.81,5,0.2,-3169.1,South
2189,C086,2024-10-31,2024-11-04,P1160,Furniture,Chairs,Ergonomic Chair,28797.9,3,0.05,2015.85,South
2190,C217,2024-09-05,2024-09-12,P1156,Office Supplies,Paper,Sticky Notes,8559.89,10,0.1,171.2,East
2191,C193,2024-12-21,2024-12-28,P1030,Technology,Tablets,iPad Air,112341.53,8,0.15,-3370.25,East
2192,C054,2024-11-20,2024-11-26,P1035,Technology,Tablets,Samsung Tab S7,44829.07,6,0.2,-3586.33,West
2193,C010,2025-02-22,2025-02-23,P1005,Office Supplies,Binders,Staples Binder,71391.74,2,0.15,-2141.75,West
2194,C042,2025-03-22,2025-03-28,P1025,Office Supplies,Pens,Reynolds Pen,61108.36,3,0.2,-4888.67,North
2195,C045,2024-10-08,2024-10-12,P1008,Office Supplies,Pens,Parker Pen,147207.94,6,0.15,-4416.24,North
2196,C201,2024-08-14,2024-08-19,P1187,Office Supplies,Binders,Staples Binder,73907.42,5,0.1,1478.15,North
2197,C017,2024-10-30,2024-11-06,P1172,Furniture,Tables,Conference Table,89961.06,9,0.2,-7196.88,North
2198,C120,2025-03-18,2025-03-24,P1125,Technology,Mobiles,iPhone 13,30824.45,6,0.15,-924.73,North
2199,C177,2025-03-13,2025-03-19,P1011,Technology,Laptops,Lenovo ThinkPad,134178.61,6,0.0,16101.43,West
2200,C254,2024-09-09,2024-09-12,P1143,Technology,Tablets,Lenovo Tab M10,130645.24,1,0.15,-3919.36,West
2201,C213,2025-05-16,2025-05-21,P1004,Technology,Laptops,Dell Inspiron 15,16358.83,8,0.15,-490.76,West
2202,C073,2024-12-01,2024-12-06,P1020,Furniture,Chairs,Visitor Chair,107602.83,2,0.1,2152.06,East
2203,C289,2024-06-01,2024-06-06,P1165,Furniture,Storage,Shelf Unit,63416.24,10,0.1,1268.32,South
2204,C239,2025-05-23,2025-05-28,P1041,Furniture,Tables,Office Table,143072.54,5,0.15,-4292.18,South
2205,C300,2025-03-24,2025-03-31,P1171,Technology,Tablets,Samsung Tab S7,99919.01,7,0.05,6994.33,East
2206,C291,2024-10-08,2024-10-11,P1037,Technology,Mobiles,Samsung Galaxy S22,7977.6,8,0.1,159.55,East
2207,C206,2024-12-04,2024-12-09,P1188,Office Supplies,Pens,Reynolds Pen,29158.03,5,0.0,3498.96,North
2208,C115,2024-10-05,2024-10-12,P1019,Furniture,Storage,Filing Cabinet,42443.71,7,0.0,5093.25,West
2209,C149,2025-04-09,2025-04-15,P1198,Office Supplies,Paper,Printer Paper,143769.59,5,0.15,-4313.09,East
2210,C134,2025-05-27,2025-06-02,P1179,Furniture,Storage,Storage Box,86244.44,7,0.15,-2587.33,South
2211,C004,2024-09-21,2024-09-27,P1035,Furniture,Chairs,Executive Chair,37888.43,3,0.0,4546.61,North
2212,C276,2024-07-31,2024-08-06,P1093,Furniture,Chairs,Ergonomic Chair,61064.65,5,0.15,-1831.94,East
2213,C041,2024-08-08,2024-08-10,P1039,Furniture,Storage,Storage Box,144285.66,4,0.0,17314.28,West
2214,C111,2024-10-01,2024-10-04,P1108,Furniture,Chairs,Visitor Chair,83560.19,3,0.1,1671.2,West
2215,C129,2024-10-01,2024-10-04,P1009,Office Supplies,Binders,Office Depot Binder,1527.69,2,0.2,-122.22,West
2216,C146,2024-12-31,2025-01-06,P1020,Technology,Laptops,Lenovo ThinkPad,86009.8,2,0.1,1720.2,South
2217,C266,2025-01-08,2025-01-11,P1134,Office Supplies,Pens,Parker Pen,97476.15,4,0.05,6823.33,West
2218,C040,2025-01-24,2025-01-27,P1090,Technology,Tablets,iPad Air,147923.51,4,0.1,2958.47,North
2219,C167,2024-08-21,2024-08-22,P1061,Technology,Tablets,Samsung Tab S7,25554.79,6,0.1,511.1,East
2220,C091,2024-10-01,2024-10-05,P1111,Technology,Laptops,Lenovo ThinkPad,4963.57,9,0.0,595.63,North
2221,C065,2024-12-17,2024-12-23,P1123,Technology,Mobiles,iPhone 13,11101.78,8,0.2,-888.14,South
2222,C087,2024-12-16,2024-12-21,P1187,Technology,Tablets,iPad Air,82896.14,6,0.0,9947.54,South
2223,C253,2025-03-23,2025-03-26,P1016,Furniture,Chairs,Visitor Chair,41758.94,4,0.2,-3340.72,East
2224,C045,2024-10-29,2024-10-31,P1039,Furniture,Storage,Filing Cabinet,93571.44,5,0.1,1871.43,South
2225,C134,2025-03-04,2025-03-07,P1113,Office Supplies,Paper,Sticky Notes,134446.66,1,0.15,-4033.4,West
2226,C059,2024-10-17,2024-10-21,P1093,Furniture,Storage,Filing Cabinet,17049.04,7,0.15,-511.47,South
2227,C071,2024-08-12,2024-08-18,P1133,Furniture,Chairs,Visitor Chair,5780.38,8,0.0,693.65,West
2228,C074,2025-03-24,2025-03-29,P1154,Furniture,Tables,Office Table,78574.04,8,0.0,9428.88,West
2229,C166,2025-01-19,2025-01-26,P1025,Furniture,Tables,Standing Desk,131220.5,5,0.05,9185.43,North
